98,509552245179617138054608572
97,6303739115624129542943611200
96,74816121229635022572122743410
95,850748635465792965093548603520
94,9255593900375515380386035575000
93,96195653182025431468566456360960
92,953599609260116434879119765474300
91,9001276838938717888251370888811520
90,80758883727645385392456506864796420
89,687374871370528747374510080000000000
88,5538938836549452164046336466480524390
87,42163759989024201098234539058803916800
86,302491939498731666584696880385452344284
85,2040123077339406088764815338940978429952
84,12900004420353983168453464571765136718750
83,76250800646945395305042129000371186958336
82,419997723691240863022566975044185926431910
81,2148370076736559473058673001393370888667136
80,10167480474790143170981322711054799979215069
79,44340118085069998164499680000000000000000000
78,177391436336957592982558826491629257000718568
77,647899662629947037482626664581619626624942080
76,2148806058729916910407230496846529472549778116
75,6433296647932010207387348780705051848109719552
74,17273103486033392073295544832944869995117187500
73,41289391439845883566911032123605366625770930176
72,87155205380879610699711536267363569323022004850
71,160972136646518619806749826059822406394257080320
70,257458932244854278794743076623886035361849382220
69,352408531636322304000000000000000000000000000000
68,407295170333508307794063148440696577023057209190
67,391333624970606301837579253107699962240984678400
66,306987401441285876389337533653852287064354899190
65,192505466182551332503120903295232126994423480320
64,94111712891086899987890501506626605987548828125
63,34810808317795805911614796299925858627941826560
62,9394875762823374923193803438246265967465198900
61,1769271547432787099297570303876094004354351104
60,219885173374445578748843940815491765826849266
59,16796000000000000000000000000000000000000000
58,718646528612549879162796568023435592936062
57,15206368271779437586019552769607141949440
56,133836623900068677288270708061627725021
55,381134004291512545742221176484134912
54,238742359215393662452697753906250
53,17331160549995323848587739136
52,44314690598262505479645
51,281474976710656
50,1
