1,0,0
3,3,0.333333
3,2,0
3,2,0
3,4,1
3,3,0.333333
4,4,0.1
3,2,0
1,0,0
2,1,0
2,4,1
3,3,0.333333
2,1,0
2,2,1
2,2,1
2,2,1
4,5,0.5
3,5,1
2,3,1
3,3,0.333333
3,3,0.333333
3,3,0.333333
2,3,1
2,2,1
2,2,1
2,2,1
3,3,0.333333
3,5,1
1,0,0
3,4,1
2,1,0
2,3,1
2,3,1
3,3,0.333333
2,2,1
2,2,1
3,3,0.333333
2,3,1
1,0,0
3,2,0
3,4,1
2,3,1
3,3,0.333333
3,4,1
2,1,0
1,1,0
2,2,1
3,4,1
4,5,0.5
4,5,0.5
2,2,1
2,1,0
3,4,1
2,1,0
4,5,0.5
2,1,0
3,2,0
3,3,0.333333
2,2,1
3,2,0
2,2,1
2,2,1
2,3,1
3,4,1
2,3,1
3,3,0.333333
2,2,1
2,2,1
3,3,0.333333
3,3,0.333333
2,1,0
2,1,0
2,2,1
4,5,0.5
4,5,0.5
3,3,0.333333
1,1,0
4,4,0.1
3,4,1
3,4,1
2,2,1
2,2,1
2,3,1
2,2,1
5,6,0.236842
2,1,0
3,2,0
3,3,0.333333
4,5,0.5
2,1,0
3,3,0.333333
3,3,0.333333
2,2,1
2,1,0
3,4,1
3,4,1
2,2,1
2,2,1
3,3,0.333333
3,2,0

100 orgs
18,22,0.0119741
17,25,0.694525
23,33,0.667687
24,35,0.77728
22,29,0.14603
23,32,0.462802
24,37,0.956138
22,31,0.535092
23,30,0.106659
18,24,0.19245
20,26,0.099507
24,35,0.77728
22,34,0.943435
22,34,0.943435
22,32,0.729416
22,29,0.14603
23,33,0.667687
23,30,0.106659
23,30,0.106659
21,28,0.194913
20,28,0.466207
21,29,0.391182
22,29,0.14603
26,34,0.116335
20,26,0.099507
26,36,0.466076
17,26,0.850409
18,24,0.19245
21,28,0.194913
22,36,0.993439
24,33,0.39267
25,37,0.859666
23,37,0.989705
23,30,0.106659
27,36,0.213085
26,42,0.996401
21,29,0.391182
18,24,0.19245
20,26,0.099507
25,34,0.326709
